NodeID,eigen,degree,closeness,page_rank,betweeness
0,3.3878002049286207e-05,0.08593363051015354,0.35334266713335666,0.006289602618466542,0.14630592147442847
1,6.041512685353315e-07,0.004210004952947003,0.2613761408505405,0.00023590202311540972,2.7832744209034606e-06
2,2.230010958674997e-07,0.0024764735017335313,0.26125776397515527,0.00020310565091694562,7.595021178512074e-08
3,6.63175446281156e-07,0.004210004952947003,0.2613761408505405,0.00022552359869430617,1.6850656559280464e-06
4,2.2329828368968497e-07,0.0024764735017335313,0.26125776397515527,0.00023849264701222462,1.8403320547933104e-07
5,1.1829437409860728e-06,0.0032194155522535907,0.2613084837895554,0.00020234812068977806,2.205964164092193e-06
6,2.1675824592729853e-07,0.0014858841010401188,0.26119016817593793,0.0001800186713563964,2.4537760730577472e-08
7,2.5684341399307956e-05,0.004952947003467063,0.2747686445291236,0.00026267667111515796,0.00017029848367303458
8,2.19400118066823e-07,0.001981178801386825,0.2612239617026782,0.00023737300152657913,2.7604980821899654e-07
9,2.2135475399211973e-06,0.014115898959881128,0.2620546433902265,0.0006001572433028073,1.6454236303026905e-05
10,7.704894916207719e-07,0.0024764735017335313,0.26125776397515527,0.00013504865958890368,4.986739552037655e-08
11,2.099935028140498e-07,0.00024764735017335313,0.26110572259941806,5.2591423276218314e-05,0.0
12,2.099935028140498e-07,0.00024764735017335313,0.26110572259941806,5.2591423276218314e-05,0.0
13,1.103333117549465e-06,0.007677067855373947,0.26161321671525756,0.0003306419576230765,1.7622717578436846e-06
14,2.3019733510434787e-07,0.003714710252600297,0.2613423079412336,0.0002886439803414604,5.582871686568508e-07
15,2.099935028140498e-07,0.00024764735017335313,0.26110572259941806,5.2591423276218314e-05,0.0
16,2.6130366695685956e-07,0.002228826151560178,0.2612408617454875,0.0001332430576919805,1.9979459275532697e-07
17,2.2738785799470778e-07,0.0032194155522535907,0.2613084837895554,0.00026000987429524483,4.1066669000480344e-07
18,2.099935028140498e-07,0.00024764735017335313,0.26110572259941806,5.2591423276218314e-05,0.0
19,2.3113012973036009e-07,0.00396235760277365,0.2613592233009709,0.0003806431405636216,5.062957964075819e-06
20,2.3002972935189068e-07,0.003714710252600297,0.2613423079412336,0.00029297537600066995,6.793693332142838e-07
21,2.5964816222928822e-05,0.016097077761267953,0.2756125861715924,0.0006928319433106632,0.0009380243844653229
22,1.0361733946907602e-06,0.0027241208519068845,0.2612746683921061,0.00016385672869526863,6.703002200833232e-07
23,2.3242338998764637e-07,0.004210004952947003,0.2613761408505405,0.00040432634048828404,6.860348937590618e-06
24,2.4839130508346926e-07,0.00396235760277365,0.2613592233009709,0.00022824011209266322,1.3673472422981514e-07
25,2.091447550836296e-06,0.017087667161961365,0.26225888160031174,0.000800412660519768,5.38808313945586e-05
26,2.333006995784672e-06,0.016840019811788013,0.26224184959085595,0.0006922746319436039,1.935436798204632e-05
27,3.846659337013232e-07,0.0012382367508667657,0.2611732746911584,9.900477693053426e-05,3.067220091322184e-08
28,2.272792421291598e-07,0.0032194155522535907,0.2613084837895554,0.0002552192093758929,3.812160659244892e-07
29,2.9240484440431815e-07,0.0032194155522535907,0.2613084837895554,0.00019154955480122377,1.3954817951917517e-06
30,9.625170936148826e-07,0.004210004952947003,0.2613761408505405,0.00021219645131216383,1.3694627409316544e-06
31,1.4526048660555028e-06,0.005695889053987122,0.2614776921582594,0.0002993619581806596,4.932641252790837e-06
