NodeID,degree,page_rank,closeness,betweeness,eigen
0,0.08593363051015354,0.006289602618466542,0.35334266713335666,0.14630592147442847,3.3878002049286207e-05
1,0.004210004952947003,0.00023590202311540972,0.2613761408505405,2.7832744209034606e-06,6.041512685353315e-07
2,0.0024764735017335313,0.00020310565091694562,0.26125776397515527,7.595021178512074e-08,2.230010958674997e-07
3,0.004210004952947003,0.00022552359869430617,0.2613761408505405,1.6850656559280464e-06,6.63175446281156e-07
4,0.0024764735017335313,0.00023849264701222462,0.26125776397515527,1.8403320547933104e-07,2.2329828368968497e-07
5,0.0032194155522535907,0.00020234812068977806,0.2613084837895554,2.205964164092193e-06,1.1829437409860728e-06
6,0.0014858841010401188,0.0001800186713563964,0.26119016817593793,2.4537760730577472e-08,2.1675824592729853e-07
7,0.004952947003467063,0.00026267667111515796,0.2747686445291236,0.00017029848367303458,2.5684341399307956e-05
8,0.001981178801386825,0.00023737300152657913,0.2612239617026782,2.7604980821899654e-07,2.19400118066823e-07
9,0.014115898959881128,0.0006001572433028073,0.2620546433902265,1.6454236303026905e-05,2.2135475399211973e-06
10,0.0024764735017335313,0.00013504865958890368,0.26125776397515527,4.986739552037655e-08,7.704894916207719e-07
11,0.00024764735017335313,5.2591423276218314e-05,0.26110572259941806,0.0,2.099935028140498e-07
12,0.00024764735017335313,5.2591423276218314e-05,0.26110572259941806,0.0,2.099935028140498e-07
13,0.007677067855373947,0.0003306419576230765,0.26161321671525756,1.7622717578436846e-06,1.103333117549465e-06
14,0.003714710252600297,0.0002886439803414604,0.2613423079412336,5.582871686568508e-07,2.3019733510434787e-07
15,0.00024764735017335313,5.2591423276218314e-05,0.26110572259941806,0.0,2.099935028140498e-07
16,0.002228826151560178,0.0001332430576919805,0.2612408617454875,1.9979459275532697e-07,2.6130366695685956e-07
17,0.0032194155522535907,0.00026000987429524483,0.2613084837895554,4.1066669000480344e-07,2.2738785799470778e-07
18,0.00024764735017335313,5.2591423276218314e-05,0.26110572259941806,0.0,2.099935028140498e-07
19,0.00396235760277365,0.0003806431405636216,0.2613592233009709,5.062957964075819e-06,2.3113012973036009e-07
20,0.003714710252600297,0.00029297537600066995,0.2613423079412336,6.793693332142838e-07,2.3002972935189068e-07
21,0.016097077761267953,0.0006928319433106632,0.2756125861715924,0.0009380243844653229,2.5964816222928822e-05
22,0.0027241208519068845,0.00016385672869526863,0.2612746683921061,6.703002200833232e-07,1.0361733946907602e-06
23,0.004210004952947003,0.00040432634048828404,0.2613761408505405,6.860348937590618e-06,2.3242338998764637e-07
